"id","price","grams","district","gender","dish_type","month","season","youandme"
"283",2,NA,"Kracheh","male","sliced_fish","March","dry","self"
"283",15,NA,"Kracheh","male","sliced_fish","March","dry","others"
"283",2,NA,"Kracheh","male","pufferfish","March","dry","self"
"283",5,NA,"Kracheh","male","pufferfish","March","dry","others"
"285",5,NA,"Kracheh","male","sliced_fish","March","dry","self"
"285",9,NA,"Kracheh","male","sliced_fish","March","dry","others"
"286",5,NA,"Kracheh","male","sliced_fish","March","dry","self"
"286",7.5,NA,"Kracheh","male","sliced_fish","March","dry","others"
"288",1,NA,"Chhloung","male","chopped_fish","March","dry","self"
"288",1.5,NA,"Chhloung","male","chopped_fish","March","dry","others"
"289",3,NA,"Chhloung","male","pufferfish","March","dry","self"
"289",5,NA,"Chhloung","male","pufferfish","March","dry","others"
"295",2.5,NA,"Chhloung","male","chopped_fish","March","dry","others"
"295",1,NA,"Chhloung","male","sliced_fish","March","dry","self"
"295",4,NA,"Chhloung","male","sliced_fish","March","dry","others"
"297",2,NA,"Chhloung","male","chopped_fish","March","dry","self"
"297",5,NA,"Chhloung","male","chopped_fish","March","dry","others"
"297",2,NA,"Chhloung","male","sliced_fish","March","dry","self"
"297",5,NA,"Chhloung","male","sliced_fish","March","dry","others"
"299",3,NA,"Chhloung","male","chopped_fish","March","dry","self"
"299",2,NA,"Chhloung","male","sliced_fish","March","dry","self"
"299",5,NA,"Chhloung","male","sliced_fish","March","dry","others"
"299",2,NA,"Chhloung","male","pufferfish","March","dry","self"
"299",4,NA,"Chhloung","male","pufferfish","March","dry","others"
"300",5,NA,"Chhloung","male","chopped_fish","March","dry","self"
"300",12,NA,"Chhloung","male","chopped_fish","March","dry","others"
"300",5,NA,"Chhloung","male","sliced_fish","March","dry","self"
"300",20,NA,"Chhloung","male","sliced_fish","March","dry","others"
"302",2,NA,"Chhloung","male","chopped_fish","March","dry","self"
"302",5,NA,"Chhloung","male","chopped_fish","March","dry","others"
"302",1,NA,"Chhloung","male","pufferfish","March","dry","self"
"302",3,NA,"Chhloung","male","pufferfish","March","dry","others"
"306",2,NA,"Chhloung","male","sliced_fish","March","dry","self"
"306",4,NA,"Chhloung","male","sliced_fish","March","dry","others"
"307",5,NA,"Chhloung","male","chopped_fish","March","dry","self"
"307",10,NA,"Chhloung","male","chopped_fish","March","dry","others"
"308",2,NA,"Chhloung","male","chopped_fish","March","dry","self"
"308",3,NA,"Chhloung","male","chopped_fish","March","dry","others"
"309",5,NA,"Chhloung","male","sliced_fish","March","dry","self"
"309",7,NA,"Chhloung","male","sliced_fish","March","dry","others"
"312",3,NA,"Chhloung","male","chopped_fish","March","dry","self"
